limit,execution_time
1000000,53
2000000,118
3000000,163
4000000,216
5000000,271
6000000,330
7000000,382
8000000,440
9000000,494
10000000,594
11000000,621
12000000,670
13000000,721
14000000,785
15000000,842
16000000,900
17000000,957
18000000,1034
19000000,1075
20000000,1136
21000000,1232
22000000,1246
23000000,1304
24000000,1375
25000000,1420
26000000,1482
27000000,1548
28000000,1600
29000000,1667
30000000,1738
31000000,1789
32000000,1844
33000000,1898
34000000,1965
35000000,2074
36000000,2106
37000000,2174
38000000,2216
39000000,2268
40000000,2347
41000000,2440
42000000,2481
43000000,2534
44000000,2612
45000000,2652
46000000,2746
47000000,2779
48000000,2881
49000000,2910
50000000,3037
