file_size,read_speed,write_speed
10485760,5000,10000
20971520,6666.67,10000
31457280,2727.27,3750
41943040,2857.14,8000
52428800,3571.43,7142.86
62914560,8571.43,5454.55
73400320,8750,14000
83886080,7272.73,13333.3
94371840,6923.08,9000
104857600,7692.31,12500
115343360,6875,11000
125829120,6315.79,8000
136314880,5652.17,8125
146800640,6363.64,10000
157286400,6521.74,13636.4
167772160,8888.89,9411.76
178257920,8500,14166.7
188743680,8571.43,11250
199229440,8636.36,9500
209715200,8695.65,12500
220200960,9545.45,14000
230686720,5789.47,13750
241172480,6969.7,10952.4
251658240,5714.29,8275.86
262144000,9615.38,12500
272629760,9285.71,11304.3
283115520,9000,8709.68
293601280,9333.33,13333.3
304087040,9354.84,13181.8
314572800,7500,13043.5
325058560,9117.65,9393.94
335544320,7804.88,12800
346030080,9705.88,11000
356515840,8717.95,11724.1
367001600,8750,11290.3
377487360,9230.77,13846.2
387973120,7551.02,9250
398458880,7916.67,8837.21
408944640,6500,13928.6
419430400,8163.27,11111.1
429916160,9111.11,11714.3
440401920,9333.33,9545.45
450887680,9555.56,10750
461373440,8461.54,13750
471859200,9574.47,11842.1
482344960,8214.29,10454.5
492830720,9400,11750
503316480,9411.76,12631.6
513802240,8909.09,12250
524288000,9090.91,13513.5
534773760,8793.1,13076.9
545259520,7027.03,11555.6
555745280,8833.33,13589.7
566231040,9473.68,12272.7
576716800,8593.75,13095.2
587202560,9333.33,13658.5
597688320,8769.23,10000
608174080,9354.84,13488.4
618659840,8082.19,13409.1
629145600,8333.33,8955.22
639631360,8356.16,9838.71
650117120,8378.38,10333.3
660602880,9000,12600
671088640,8767.12,10000
681574400,9420.29,13541.7
692060160,8148.15,8148.15
702545920,8815.79,9305.56
713031680,8947.37,10793.7
723517440,6969.7,12777.8
734003200,7692.31,11290.3
744488960,6893.2,13396.2
754974720,7826.09,8674.7
765460480,9012.35,13518.5
775946240,7326.73,13703.7
786432000,8333.33,10416.7
796917760,9382.72,12459
807403520,7777.78,13275.9
817889280,9069.77,13684.2
828375040,8977.27,11969.7
838860800,8602.15,11764.7
849346560,9204.55,12461.5
859832320,8913.04,8913.04
870318080,9325.84,12968.8
880803840,6412.21,11506.8
891289600,8673.47,13281.2
901775360,7478.26,12463.8
912261120,6744.19,8613.86
922746880,9263.16,9263.16
933232640,9270.83,9888.89
943718400,9278.35,10714.3
954204160,7913.04,11234.6
964689920,8932.04,10454.5
975175680,7685.95,7560.98
985661440,7460.32,9126.21
996147200,7364.34,9313.73
1006632960,7328.24,10786.5
1017118720,7461.54,12597.4
1027604480,8166.67,12727.3
1038090240,7122.3,8461.54
1048576000,6711.41,8000
